p_theta	p_rho	p_npop	p_ej_time_pop_2_1	p_init_size_pop_0	s_segs_1	s_segs_2	s_segs	s_pi_1	s_pi_2	s_theta_pi	s_theta_w_1	s_theta_w_2	s_theta_w	s_tajimasD_1	s_tajimasD_2	s_tajimasD	s_ZnS_1	s_ZnS_2	s_ZnS	s_fst	s_perc_shared_1_2	s_perc_private_1_2	s_perc_fixed_dif_1_2	s_pairwise_fst_1_2	s_FayWuH_1	s_FayWuH_2	s_FayWuH	s_dvk_1	s_dvh_1	s_dvk_2	s_dvh_2	s_dvk	s_dvh	
1.000000e+01	2.000000e+01	2	1.000000e+00	5.000000e-01	1.900000e+01	1.100000e+01	44	7.000000e+00	4.933333e+00	1.698485e+01	8.321168e+00	4.817518e+00	1.457013e+01	-9.897991e-01	1.453930e-01	7.574607e-01	7.192982e-01	2.667273e-01	3.223867e-01	6.286307e-01	0.000000e+00	6.818182e-01	3.181818e-01	6.286307e-01	-6.514982e+00	-5.240708e+00	4.761135e-01	4.000000e+00	6.666667e-01	5.000000e+00	7.777778e-01	9.000000e+00	8.611111e-01	
1.000000e+01	2.000000e+01	2	1.000000e+00	5.000000e-01	3.500000e+01	6.000000e+00	62	1.533333e+01	2.666667e+00	2.390909e+01	1.532847e+01	2.627737e+00	2.053064e+01	2.019160e-03	8.479530e-02	7.597285e-01	2.805901e-01	1.455000e-01	3.053955e-01	6.029412e-01	0.000000e+00	6.612903e-01	3.387097e-01	6.029412e-01	-4.248361e+00	-1.497786e+01	4.888464e-01	5.000000e+00	7.777778e-01	6.000000e+00	8.333333e-01	1.100000e+01	9.027778e-01	
1.000000e+01	2.000000e+01	2	1.000000e+00	5.000000e-01	3.700000e+01	7.000000e+00	58	1.846667e+01	3.666667e+00	2.230303e+01	1.620438e+01	3.065693e+00	1.920608e+01	8.891347e-01	1.140884e+00	7.431779e-01	3.323949e-01	5.619048e-01	2.768231e-01	4.820593e-01	0.000000e+00	7.586207e-01	2.413793e-01	4.820593e-01	-1.559643e+00	-1.034672e+01	9.297455e-01	6.000000e+00	8.333333e-01	3.000000e+00	6.111111e-01	9.000000e+00	8.611111e-01	
1.000000e+01	2.000000e+01	2	1.000000e+00	5.000000e-01	3.900000e+01	8.000000e+00	63	2.060000e+01	3.600000e+00	2.450000e+01	1.708029e+01	3.503650e+00	2.086177e+01	1.313946e+00	1.621214e-01	8.054766e-01	3.832524e-01	4.042857e-01	3.018144e-01	4.843750e-01	0.000000e+00	7.460317e-01	2.539683e-01	4.843750e-01	-5.810835e-01	-2.529689e+01	6.988714e-02	4.000000e+00	7.222222e-01	4.000000e+00	6.666667e-01	8.000000e+00	8.472222e-01	
1.000000e+01	2.000000e+01	2	1.000000e+00	5.000000e-01	1.800000e+01	7.000000e+00	38	7.333333e+00	3.000000e+00	1.498485e+01	7.883212e+00	3.065693e+00	1.258329e+01	-4.338123e-01	-1.247120e-01	8.675738e-01	2.653268e-01	4.696429e-01	3.226278e-01	6.352941e-01	0.000000e+00	6.578947e-01	3.421053e-01	6.352941e-01	-3.448272e+00	-1.105540e+01	6.458443e-01	6.000000e+00	8.333333e-01	4.000000e+00	6.666667e-01	1.000000e+01	8.750000e-01	
1.000000e+01	2.000000e+01	2	1.000000e+00	5.000000e-01	2.300000e+01	1.900000e+01	51	9.533333e+00	7.800000e+00	1.612121e+01	1.007299e+01	8.321168e+00	1.688810e+01	-3.365164e-01	-3.904511e-01	-2.085316e-01	2.728953e-01	6.119298e-01	2.016628e-01	4.408602e-01	0.000000e+00	8.235294e-01	1.764706e-01	4.408602e-01	-2.461026e+00	-2.419850e+00	6.326608e-01	5.000000e+00	7.777778e-01	4.000000e+00	6.666667e-01	9.000000e+00	8.611111e-01	
1.000000e+01	2.000000e+01	2	1.000000e+00	5.000000e-01	2.500000e+01	6.000000e+00	52	1.046667e+01	2.266667e+00	1.934848e+01	1.094891e+01	2.627737e+00	1.721924e+01	-2.774550e-01	-7.864764e-01	5.681734e-01	2.223750e-01	3.493333e-01	2.963110e-01	6.514599e-01	0.000000e+00	5.961538e-01	4.038462e-01	6.514599e-01	-3.546153e+00	-1.641191e+01	5.932086e-01	6.000000e+00	8.333333e-01	4.000000e+00	6.666667e-01	1.000000e+01	8.750000e-01	
1.000000e+01	2.000000e+01	2	1.000000e+00	5.000000e-01	2.800000e+01	4.000000e+00	52	1.213333e+01	2.066667e+00	2.059091e+01	1.226277e+01	1.751825e+00	1.721924e+01	-6.673298e-02	9.742848e-01	8.997055e-01	2.987978e-01	4.166667e-01	3.433466e-01	6.352740e-01	0.000000e+00	6.153846e-01	3.846154e-01	6.352740e-01	-1.797034e+00	-3.035392e+01	6.242666e-01	5.000000e+00	7.777778e-01	4.000000e+00	7.222222e-01	9.000000e+00	8.750000e-01	
1.000000e+01	2.000000e+01	2	1.000000e+00	5.000000e-01	2.200000e+01	1.300000e+01	46	7.533333e+00	6.733333e+00	1.724242e+01	9.635036e+00	5.693431e+00	1.523241e+01	-1.367894e+00	1.116711e+00	6.040031e-01	4.940260e-01	4.773077e-01	2.807931e-01	5.650407e-01	0.000000e+00	7.608696e-01	2.391304e-01	5.650407e-01	-3.705079e+00	-4.818215e+00	7.460198e-01	6.000000e+00	8.333333e-01	5.000000e+00	7.777778e-01	1.100000e+01	9.027778e-01	
1.000000e+01	2.000000e+01	2	1.000000e+00	5.000000e-01	1.500000e+01	1.600000e+01	49	5.600000e+00	7.400000e+00	1.813636e+01	6.569343e+00	7.007299e+00	1.622582e+01	-9.095069e-01	3.465863e-01	5.400541e-01	2.845714e-01	2.119375e-01	2.733698e-01	6.213592e-01	0.000000e+00	6.326531e-01	3.673469e-01	6.213592e-01	-7.085718e+00	-4.324543e+00	6.405652e-01	6.000000e+00	8.333333e-01	6.000000e+00	8.333333e-01	1.200000e+01	9.166667e-01	
1.000000e+01	2.000000e+01	2	1.000000e+00	5.000000e-01	3.500000e+01	1.400000e+01	58	1.526667e+01	5.533333e+00	2.000000e+01	1.532847e+01	6.131387e+00	1.920608e+01	-2.564333e-02	-5.989445e-01	1.905180e-01	3.102521e-01	2.395604e-01	2.094166e-01	4.583333e-01	0.000000e+00	8.448276e-01	1.551724e-01	4.583333e-01	-1.749325e+00	-8.161952e+00	2.688421e-01	6.000000e+00	8.333333e-01	6.000000e+00	8.333333e-01	1.200000e+01	9.166667e-01	
1.000000e+01	2.000000e+01	2	1.000000e+00	5.000000e-01	2.700000e+01	2.800000e+01	65	1.126667e+01	1.446667e+01	2.457576e+01	1.182482e+01	1.226277e+01	2.152405e+01	-2.980811e-01	1.136217e+00	6.553321e-01	2.490685e-01	4.341534e-01	2.468557e-01	4.548023e-01	0.000000e+00	8.461538e-01	1.538462e-01	4.548023e-01	-1.812217e+00	-3.725558e+00	8.793180e-01	6.000000e+00	8.333333e-01	5.000000e+00	7.777778e-01	1.100000e+01	9.027778e-01	
1.000000e+01	2.000000e+01	2	1.000000e+00	5.000000e-01	1.100000e+01	1.400000e+01	56	5.066667e+00	5.066667e+00	2.448485e+01	4.817518e+00	6.131387e+00	1.854380e+01	3.127782e-01	-1.066306e+00	1.475196e+00	3.890909e-01	7.543956e-01	4.861148e-01	7.784257e-01	0.000000e+00	4.464286e-01	5.535714e-01	7.784257e-01	-1.611765e+01	-1.123279e+01	3.011131e-01	5.000000e+00	7.777778e-01	4.000000e+00	7.222222e-01	9.000000e+00	8.750000e-01	
1.000000e+01	2.000000e+01	2	1.000000e+00	5.000000e-01	2.000000e+01	1.300000e+01	59	9.066667e+00	5.333333e+00	2.454545e+01	8.759124e+00	5.693431e+00	1.953722e+01	2.193580e-01	-3.866946e-01	1.181993e+00	4.772105e-01	2.446154e-01	3.848784e-01	6.883117e-01	0.000000e+00	5.593220e-01	4.406780e-01	6.883117e-01	-8.598842e+00	-8.431877e+00	5.951438e-01	5.000000e+00	7.777778e-01	6.000000e+00	8.333333e-01	1.100000e+01	9.027778e-01	
1.000000e+01	2.000000e+01	2	1.000000e+00	5.000000e-01	2.700000e+01	5.000000e+00	48	1.133333e+01	2.266667e+00	1.836364e+01	1.182482e+01	2.189781e+00	1.589469e+01	-2.624777e-01	1.965051e-01	7.119789e-01	2.909259e-01	4.540000e-01	3.045184e-01	6.091954e-01	0.000000e+00	6.666667e-01	3.333333e-01	6.091954e-01	-2.265272e+00	-1.877715e+01	6.430765e-01	5.000000e+00	7.777778e-01	4.000000e+00	6.666667e-01	9.000000e+00	8.611111e-01	
1.000000e+01	2.000000e+01	2	1.000000e+00	5.000000e-01	3.800000e+01	1.600000e+01	75	1.833333e+01	6.400000e+00	2.843939e+01	1.664234e+01	7.007299e+00	2.483545e+01	6.475070e-01	-5.359847e-01	6.728752e-01	3.698151e-01	2.587500e-01	2.713967e-01	5.436654e-01	0.000000e+00	7.200000e-01	2.800000e-01	5.436654e-01	-1.256808e+00	-1.210872e+01	6.812431e-01	5.000000e+00	7.777778e-01	6.000000e+00	8.333333e-01	1.100000e+01	9.027778e-01	
1.000000e+01	2.000000e+01	2	1.000000e+00	5.000000e-01	1.400000e+01	1.300000e+01	41	5.266667e+00	5.533333e+00	1.609091e+01	6.131387e+00	5.693431e+00	1.357671e+01	-8.660084e-01	-1.719223e-01	8.442482e-01	4.224176e-01	3.641346e-01	3.228029e-01	6.447368e-01	0.000000e+00	6.585366e-01	3.414634e-01	6.447368e-01	-7.111404e+00	-4.818215e+00	6.289470e-01	5.000000e+00	7.777778e-01	4.000000e+00	6.666667e-01	9.000000e+00	8.611111e-01	
1.000000e+01	2.000000e+01	2	1.000000e+00	5.000000e-01	2.100000e+01	9.000000e+00	49	9.666667e+00	3.800000e+00	1.815152e+01	9.197080e+00	3.941606e+00	1.622582e+01	3.196130e-01	-2.139770e-01	5.443370e-01	3.358571e-01	2.558333e-01	2.852328e-01	6.085271e-01	0.000000e+00	6.122449e-01	3.877551e-01	6.085271e-01	-1.079042e+00	-1.501215e+01	6.635599e-01	5.000000e+00	7.777778e-01	6.000000e+00	8.333333e-01	1.100000e+01	9.027778e-01	
