p_theta	p_rho	p_pop_change_time	p_pop_change_newpop	s_segs	s_theta_pi	s_theta_w	s_tajimasD	s_ZnS	s_FayWuH	s_dvk	s_dvh	
7.000000e+00	2.000000e+01	1.000000e-02	3.000000e-01	15	4.984848e+00	4.967089e+00	1.535101e-02	2.228661e-01	-9.552451e-03	7.000000e+00	8.055556e-01	
7.000000e+00	2.000000e+01	1.000000e-02	3.000000e-01	14	3.772727e+00	4.635950e+00	-7.944167e-01	2.391790e-01	6.380102e-01	8.000000e+00	8.194444e-01	
7.000000e+00	2.000000e+01	1.000000e-02	3.000000e-01	7	2.560606e+00	2.317975e+00	4.096194e-01	2.553843e-01	3.357419e-01	6.000000e+00	7.777778e-01	
7.000000e+00	2.000000e+01	1.000000e-02	3.000000e-01	4	1.045455e+00	1.324557e+00	-7.410882e-01	6.905418e-02	7.164069e-01	5.000000e+00	6.805556e-01	
7.000000e+00	2.000000e+01	1.000000e-02	3.000000e-01	9	2.803030e+00	2.980253e+00	-2.413748e-01	1.574402e-01	3.343524e-01	7.000000e+00	8.194444e-01	
7.000000e+00	2.000000e+01	1.000000e-02	3.000000e-01	1	1.666667e-01	3.311393e-01	-1.140533e+00	nan	-3.459952e+00	2.000000e+00	1.527778e-01	
7.000000e+00	2.000000e+01	1.000000e-02	3.000000e-01	9	3.863636e+00	2.980253e+00	1.203152e+00	6.121212e-01	-7.413902e-01	4.000000e+00	6.805556e-01	
7.000000e+00	2.000000e+01	1.000000e-02	3.000000e-01	6	1.803030e+00	1.986836e+00	-3.528144e-01	3.114478e-01	3.372973e-01	4.000000e+00	6.944444e-01	
7.000000e+00	2.000000e+01	1.000000e-02	3.000000e-01	4	6.666667e-01	1.324557e+00	-1.746866e+00	8.264463e-03	5.306718e-01	5.000000e+00	5.277778e-01	
7.000000e+00	2.000000e+01	1.000000e-02	3.000000e-01	6	1.363636e+00	1.986836e+00	-1.196231e+00	2.462810e-01	-5.952305e-01	5.000000e+00	6.111111e-01	
7.000000e+00	2.000000e+01	1.000000e-02	3.000000e-01	14	5.848485e+00	4.635950e+00	1.115886e+00	3.048006e-01	5.063573e-01	7.000000e+00	8.333333e-01	
7.000000e+00	2.000000e+01	1.000000e-02	3.000000e-01	3	1.318182e+00	9.934178e-01	1.072384e+00	4.600000e-01	6.767563e-01	4.000000e+00	5.972222e-01	
7.000000e+00	2.000000e+01	1.000000e-02	3.000000e-01	2	6.969697e-01	6.622786e-01	1.530654e-01	6.493506e-02	4.175193e-01	3.000000e+00	5.694444e-01	
7.000000e+00	2.000000e+01	1.000000e-02	3.000000e-01	5	1.924242e+00	1.655696e+00	5.978998e-01	3.454545e-01	2.946815e-01	4.000000e+00	6.805556e-01	
7.000000e+00	2.000000e+01	1.000000e-02	3.000000e-01	7	2.378788e+00	2.317975e+00	1.026668e-01	9.964165e-02	5.477895e-01	8.000000e+00	8.611111e-01	
7.000000e+00	2.000000e+01	1.000000e-02	3.000000e-01	4	1.030303e+00	1.324557e+00	-7.813194e-01	2.226682e-01	2.122687e-01	4.000000e+00	6.250000e-01	
7.000000e+00	2.000000e+01	1.000000e-02	3.000000e-01	7	2.515152e+00	2.317975e+00	3.328813e-01	2.733333e-01	6.008014e-01	5.000000e+00	6.805556e-01	
7.000000e+00	2.000000e+01	1.000000e-02	3.000000e-01	8	2.333333e+00	2.649114e+00	-4.760123e-01	1.163376e-01	-2.232327e-01	8.000000e+00	8.194444e-01	
7.000000e+00	2.000000e+01	1.000000e-02	3.000000e-01	7	2.242424e+00	2.317975e+00	-1.275477e-01	1.209279e-01	4.947776e-01	7.000000e+00	7.916667e-01	
7.000000e+00	2.000000e+01	1.000000e-02	3.000000e-01	1	1.666667e-01	3.311393e-01	-1.140533e+00	nan	3.145411e-01	2.000000e+00	1.527778e-01	
7.000000e+00	2.000000e+01	1.000000e-02	3.000000e-01	17	6.393939e+00	5.629368e+00	5.893508e-01	2.357471e-01	3.260773e-01	7.000000e+00	8.472222e-01	
7.000000e+00	2.000000e+01	1.000000e-02	3.000000e-01	6	2.090909e+00	1.986836e+00	1.997689e-01	2.199070e-01	-3.571383e-01	7.000000e+00	7.638889e-01	
7.000000e+00	2.000000e+01	1.000000e-02	3.000000e-01	4	9.090909e-01	1.324557e+00	-1.103168e+00	1.928375e-02	6.368061e-01	5.000000e+00	6.666667e-01	
7.000000e+00	2.000000e+01	1.000000e-02	3.000000e-01	5	2.545455e+00	1.655696e+00	1.980987e+00	4.982313e-01	5.440273e-01	5.000000e+00	7.222222e-01	
7.000000e+00	2.000000e+01	1.000000e-02	3.000000e-01	7	2.575758e+00	2.317975e+00	4.351988e-01	2.202959e-01	2.473888e-01	6.000000e+00	7.777778e-01	
7.000000e+00	2.000000e+01	1.000000e-02	3.000000e-01	5	1.606061e+00	1.655696e+00	-1.105107e-01	2.026446e-01	-3.173493e-01	5.000000e+00	6.805556e-01	
7.000000e+00	2.000000e+01	1.000000e-02	3.000000e-01	5	1.424242e+00	1.655696e+00	-5.153167e-01	1.645992e-01	7.707053e-01	5.000000e+00	6.111111e-01	
7.000000e+00	2.000000e+01	1.000000e-02	3.000000e-01	5	2.318182e+00	1.655696e+00	1.474979e+00	3.196825e-01	3.400171e-01	4.000000e+00	7.361111e-01	
7.000000e+00	2.000000e+01	1.000000e-02	3.000000e-01	2	8.181818e-01	6.622786e-01	6.878817e-01	1.111111e-01	7.515348e-01	3.000000e+00	6.250000e-01	
